Bubble Sort,10000,number,0.096000,0,Success
Selection Sort,10000,number,0.039000,0,Success
Insertion Sort,10000,number,0.026000,0,Success
Merge Sort,10000,number,0.002000,53248,Success
Quick Sort,10000,number,0.000000,0,Success
Shell Sort,10000,number,0.002000,0,Success
Bubble Sort,50000,number,4.124000,0,Success
Selection Sort,50000,number,0.995000,0,Success
Insertion Sort,50000,number,0.639000,0,Success
Merge Sort,50000,number,0.011000,4294893568,Success
Quick Sort,50000,number,0.005000,0,Success
Shell Sort,50000,number,0.008000,0,Success
Bubble Sort,100000,number,17.678000,0,Success
Selection Sort,100000,number,3.965000,0,Success
Insertion Sort,100000,number,2.688000,0,Success
Merge Sort,100000,number,0.022000,20480,Success
Quick Sort,100000,number,0.008000,0,Success
Shell Sort,100000,number,0.017000,0,Success
Bubble Sort,250000,number,158.328000,4294918144,Success
Selection Sort,250000,number,28.351000,0,Success
Insertion Sort,250000,number,19.163000,0,Success
Merge Sort,250000,number,0.056000,77824,Success
Quick Sort,250000,number,0.024000,0,Success
Shell Sort,250000,number,0.072000,0,Success
Bubble Sort,500000,number,555.136000,0,Success
Selection Sort,500000,number,111.808000,0,Success
Insertion Sort,500000,number,89.099000,0,Success
Merge Sort,500000,number,0.125000,1048576,Success
Quick Sort,500000,number,0.059000,0,Success
Shell Sort,500000,number,0.134000,0,Success
Bubble Sort,1000000,number,2690.284000,4294938624,Success
Selection Sort,1000000,number,610.865000,0,Success
Insertion Sort,1000000,number,390.837000,0,Success
Merge Sort,1000000,number,0.319000,1015808,Success
Quick Sort,1000000,number,0.136000,0,Success
Shell Sort,1000000,number,0.313000,0,Success
Bubble Sort,1500000,number,20366.383000,4294844416,Success
Selection Sort,1500000,number,2936.311000,4293816320,Success
Insertion Sort,1500000,number,3405.993000,4294955008,Success
Merge Sort,1500000,number,0.348000,802816,Success
Quick Sort,1500000,number,0.170000,0,Success
Shell Sort,1500000,number,0.409000,0,Success
Merge Sort,2000000,number,0.492000,61440,Success
Quick Sort,2000000,number,0.335000,0,Success
Shell Sort,2000000,number,0.654000,0,Success
